JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA NIGUEL,Total,Methoxychlor,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Methyl parathion,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Mevinphos,ng/L,0.031098449031808677,0.031098449031808677
LAGUNA NIGUEL,Total,Mirex,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Naphthalene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Nickel,ug/L,134.3064267561237,134.3064267561237
LAGUNA NIGUEL,Dissolved,Nickel,ug/L,134.3064267561237,134.3064267561237
LAGUNA NIGUEL,Total,Nitrate+Nitrite Nitrogen,mg/L,10981.207891454218,10981.207891454218
LAGUNA NIGUEL,Total,Orthophosphate as P,mg/L,831.1060503750869,831.1060503750869
LAGUNA NIGUEL,Total,Phenanthrene,ng/L,0.030831890897250316,0.030831890897250316
LAGUNA NIGUEL,Total,Phorate,ng/L,0.031098449031808677,0.031098449031808677
LAGUNA NIGUEL,Total,Phosphorus as PO4,mg/L,3685.166210269328,3685.166210269328
LAGUNA NIGUEL,Total,Pyrene,ng/L,0.08018216775368003,0.08018216775368003
LAGUNA NIGUEL,Total,Selenium,ug/L,42.39755218003249,42.39755218003249
LAGUNA NIGUEL,Dissolved,Selenium,ug/L,42.39755218003249,42.39755218003249
LAGUNA NIGUEL,Total,Silver,ug/L,0.6219689806361736,0.6219689806361736
LAGUNA NIGUEL,Dissolved,Silver,ug/L,0.6219689806361736,0.6219689806361736
LAGUNA NIGUEL,Total,Specific Conductivity,NA,NA,NA
LAGUNA NIGUEL,Total,Sulfate as SO4,mg/L,6845546.093126886,6845546.093126886
LAGUNA NIGUEL,Total,Tetrachlorvinphos (Stirofos),ng/L,0.01243937961272347,0.01243937961272347
LAGUNA NIGUEL,Total,Thallium,ug/L,0.6219689806361736,0.6219689806361736
LAGUNA NIGUEL,Dissolved,Thallium,ug/L,0.6219689806361736,0.6219689806361736
LAGUNA NIGUEL,Total,TOC,mg/L,36657.29679624448,36657.29679624448
LAGUNA NIGUEL,Total,Tokuthion,ng/L,0.018659069419085204,0.018659069419085204
LAGUNA NIGUEL,Total,Total Coliform,CFU/100 mL,NA,NA
LAGUNA NIGUEL,Total,Total Dissolved Solids (TDS),mg/L,17298512.273943573,17298512.273943573
LAGUNA NIGUEL,Total,Total Kjeldahl Nitrogen,mg/L,6786.372655385805,6786.372655385805
LAGUNA NIGUEL,Total,Total Suspended Solids,mg/L,46103.45068965637,46103.45068965637
LAGUNA NIGUEL,Total,Toxaphene,ng/L,0.07774612257952168,0.07774612257952168
LAGUNA NIGUEL,Total,trans-Nonachlor,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Trichloronate,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Volatile Suspended Solids,mg/L,27643.065806052156,27643.065806052156
LAGUNA NIGUEL,Total,Zinc,ug/L,96.68790517162333,96.68790517162333
LAGUNA NIGUEL,Dissolved,Zinc,ug/L,96.68790517162333,96.68790517162333
ORANGE CO,Total,"2,4'-DDD",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"2,4'-DDE",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"2,4'-DDT",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"4,4'-DDD",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"4,4'-DDE",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,"4,4'-DDT",ng/L,0.0034533076159610487,0.0034533076159610487
ORANGE CO,Total,Acenaphthene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Acenaphthylene,ng/L,0.008633269039902622,0.008633269039902622
ORANGE CO,Total,Aldrin,ng/L,0.008633269039902622,0.008633269039902622
