Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs
M01-042-1 (M01S01),0.018533,SAN CLEMENTE,NA,0.029742440000000002,0.01278777,0.029742440000000002
M01-047-1,0.392052,SAN CLEMENTE,NA,0.6814419299999999,0.27051588,0.6814419299999999
M01-050-4,0.058505,SAN CLEMENTE,NA,0.028999999999999998,0.04036845,0.028999999999999998
M01-050-7,4e-6,SAN CLEMENTE,NA,0,2.76e-6,0
M01-060-3,0.747703,DANA POINT,NA,0.47751139499999995,0.5159150699999999,0.47751139499999995
M01-099-1,0.038419,SAN CLEMENTE,NA,0.054461045,0.02650911,0.054461045
M01-124-2,0.01691,SAN CLEMENTE,NA,0.004,0.0116679,0.004
M01-124-4,0.001617,SAN CLEMENTE,NA,0.0025,0.0011157299999999999,0.0025
M01-168-1d (M00P03),0,DANA POINT,NA,NA,0,0
M01-168-2d (M00P03),NA,DANA POINT,NA,NA,NA,NA
M02-013-1,NA,SAN CLEMENTE,NA,NA,NA,NA
M02-015-1,0.020964,SAN CLEMENTE,NA,NA,0.01446516,0.01446516
