Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall
K01-12138-1 (K01TBN1),0.063607,LAGUNA NIGUEL,NA,NA,0.04388883,0.04388883,3791.994912,NA,0.003953206753253942,NA,341.55706348114063,NA,341.55706348114063
K01-12155-1,4.4e-4,LAGUNA NIGUEL,NA,0,3.036e-4,0,0,NA,6.597222222222223e-5,NA,5.7,NA,5.7
K01-12155-5,0.061386,LAGUNA NIGUEL,NA,NA,0.04235634,0.04235634,3659.587776,NA,0.012611111111111111,NA,1089.6000000000001,NA,1089.6000000000001
K01-12156-1,NA,LAGUNA NIGUEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12156-3,0,LAGUNA NIGUEL,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
K01-12156-6,0.522546,LAGUNA NIGUEL,NA,0.121,0.36055673999999993,0.121,10454.4,NA,NA,NA,NA,NA,10454.4
K01-12159-2,0.146367,DANA POINT,NA,0.0785,0.10099322999999999,0.0785,6782.4000000000005,NA,NA,NA,NA,NA,6782.4000000000005
K01-12159-3,0.023731,DANA POINT,NA,0.0325,0.01637439,0.0325,2808.0000000000005,NA,NA,NA,NA,NA,2808.0000000000005
K01-12177-1 (K01P07),0.235946,LAGUNA NIGUEL,NA,0.086,0.16280273999999997,0.086,7430.4,NA,0.35064829731423613,NA,30296.012887950004,NA,30296.012887950004
L01-125-1,2.5,RANCHO SANTA MARGARITA,NA,NA,1.7249999999999999,1.7249999999999999,149039.99999999997,NA,NA,NA,NA,NA,149039.99999999997
L01-125-2,0.021,RANCHO SANTA MARGARITA,NA,NA,0.01449,0.01449,1251.936,NA,NA,NA,NA,NA,1251.936
L01-125-3,0.034201,RANCHO SANTA MARGARITA,NA,NA,0.02359869,0.02359869,2038.9268160000001,NA,NA,NA,NA,NA,2038.9268160000001
L01-218-1,NA,RANCHO SANTA MARGARITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-218-2,0.020075,RANCHO SANTA MARGARITA,NA,NA,0.013851749999999998,0.013851749999999998,1196.7912,NA,NA,NA,NA,NA,1196.7912
L01-218-3,NA,RANCHO SANTA MARGARITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-218-4,0.033304,RANCHO SANTA MARGARITA,NA,0.06848802,0.02297976,0.06848802,5917.364928,NA,NA,NA,NA,NA,5917.364928
L01-223-1 (L08TBN1),0.056556,RANCHO SANTA MARGARITA,NA,0.018,0.03902364,0.018,1555.1999999999998,NA,NA,NA,NA,NA,1555.1999999999998
L01-242-1 (L07P16),NA,ORANGE CO,NA,NA,NA,NA,NA,NA,0.0032239583333333335,NA,278.55,NA,278.55
L01-261-1,0.008361,ORANGE CO,NA,0.001,0.00576909,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
L01-303-1,NA,ORANGE CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-303-2,0.07,ORANGE CO,NA,NA,0.0483,0.0483,4173.12,NA,NA,NA,NA,NA,4173.12
L01-303-3,NA,ORANGE CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-303-4,0.018628,ORANGE CO,NA,0,0.012853319999999998,0,0,NA,NA,NA,NA,NA,0
L01-303-5,0.017713,ORANGE CO,NA,0.00764558,0.012221969999999999,0.00764558,660.5781119999999,NA,NA,NA,NA,NA,660.5781119999999
L01-335-1,0.015593,ORANGE CO,NA,0.016026224999999998,0.010759169999999998,0.016026224999999998,1384.6658399999997,NA,NA,NA,NA,NA,1384.6658399999997
L01-335-2,0.0052,ORANGE CO,NA,0.007,0.0035879999999999996,0.007,604.8,NA,NA,NA,NA,NA,604.8
L01-340-1,0.056759,ORANGE CO,NA,0.0786,0.03916371,0.0786,6791.040000000001,NA,0.012154513888888888,NA,1050.15,NA,1050.15
L01-372-1,0.007224,ORANGE CO,NA,NA,0.00498456,0.00498456,430.665984,NA,0.01437539914869843,NA,1242.0344864475444,NA,1242.0344864475444
L01-391-1,0,ORANGE CO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-391-3,0.013986,ORANGE CO,NA,0.0032500000000000003,0.009650339999999999,0.0032500000000000003,280.8,NA,NA,NA,NA,NA,280.8
L01-399-1,0,ORANGE CO,NA,NA,0,0,0,NA,NA,NA,NA,NA,0
L01-399-2,0.001,ORANGE CO,NA,NA,6.9e-4,6.9e-4,59.616,NA,NA,NA,NA,NA,59.616
L01-404-1,0.139529,ORANGE CO,NA,0.447882495,0.09627500999999998,0.447882495,38697.047568,NA,0.025203125,NA,2177.55,NA,2177.55
L01-404-2,0.073474,ORANGE CO,NA,0.11249999999999999,0.050697059999999995,0.11249999999999999,9719.999999999998,NA,NA,NA,NA,NA,9719.999999999998
L01-414-1,NA,ORANGE CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-414-2,0,ORANGE CO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-414-3,0.232035,ORANGE CO,NA,NA,0.16010414999999997,0.16010414999999997,13832.998559999998,NA,NA,NA,NA,NA,13832.998559999998
L01-458-1,5.4e-4,ORANGE CO,NA,NA,3.7259999999999995e-4,3.7259999999999995e-4,32.19264,NA,NA,NA,NA,NA,32.19264
L01-471-1,0.008117,ORANGE CO,NA,0.00530535,0.005600729999999999,0.00530535,458.38224,NA,NA,NA,NA,NA,458.38224
L01-494-1,0.095729,ORANGE CO,NA,0.047,0.06605301,0.047,4060.7999999999997,NA,NA,NA,NA,NA,4060.7999999999997
L01-514-1,0.018581,ORANGE CO,NA,0.002,0.01282089,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998
L01-517-1,0,SAN JUAN CAPISTRANO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-517-2,0,SAN JUAN CAPISTRANO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
L01-517-3,0.001664,ORANGE CO,NA,NA,0.0011481599999999998,0.0011481599999999998,99.201024,NA,NA,NA,NA,NA,99.201024
L01-517-6,0.0279,ORANGE CO,NA,0.011108,0.019251,0.011108,959.7312,NA,NA,NA,NA,NA,959.7312
L01-517-7,0.001777,ORANGE CO,NA,0,0.0012261299999999998,0,0,NA,NA,NA,NA,NA,0
L01-517-8,0,SAN JUAN CAPISTRANO,NA,0,0,0,0,NA,NA,NA,NA,NA,0
