JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Dissolved,"Arsenic, Total",1.143398389,3.941202716,5.084601106
LAGUNA HILLS,Total,"Arsenic, Total",0.03400563,6.271494902,6.305500533
LAGUNA WOODS,Total,"Arsenic, Total",0.062241587,0.960916795,1.023158382
LAGUNA HILLS,Dissolved,"Arsenic, Total",0.033724592,6.271494902,6.305219494
LAGUNA WOODS,Dissolved,"Arsenic, Total",0.061727194,0.960916795,1.022643989
DANA POINT,Total,"Arsenic, Total",0.563965301,0.425720602,0.989685904
SAN JUAN CAPISTRANO,Total,"Arsenic, Total",0.377461205,1.584224253,1.961685458
DANA POINT,Dissolved,"Arsenic, Total",0.494126331,0.425720602,0.919846933
SAN JUAN CAPISTRANO,Dissolved,"Arsenic, Total",0.360912031,1.584224253,1.945136285
LAGUNA BEACH,Total,"Arsenic, Total",0.256812902,0.237172197,0.493985099
LAGUNA BEACH,Dissolved,"Arsenic, Total",0.269914409,0.237172197,0.507086606
SAN CLEMENTE,Total,"Arsenic, Total",2.381518583,6.516007432,8.897526014
SAN CLEMENTE,Dissolved,"Arsenic, Total",2.229418021,6.516007432,8.745425452
MISSION VIEJO,Total,Azinphos Methyl,0.009333541,0.009954786,0.019288327
LAKE FOREST,Total,Azinphos Methyl,3.01E-04,0.002129202,0.002429972
RANCHO SANTA MARGARITA,Total,Azinphos Methyl,0.002067494,0.010410105,0.012477599
ORANGE CO,Total,Azinphos Methyl,0.00911571,0.017266538,0.026382249
LAGUNA NIGUEL,Total,Azinphos Methyl,0.005209536,0.031098449,0.036307985
ALISO VIEJO,Total,Azinphos Methyl,9.01E-04,0.002316651,0.003217257
LAGUNA HILLS,Total,Azinphos Methyl,2.81E-05,0.00520456,0.005232664
LAGUNA WOODS,Total,Azinphos Methyl,5.14E-05,7.97E-04,8.49E-04
DANA POINT,Total,Azinphos Methyl,0.001578223,0.001261394,0.002839618
SAN JUAN CAPISTRANO,Total,Azinphos Methyl,0.001230459,0.005439397,0.006669855
LAGUNA BEACH,Total,Azinphos Methyl,6.89E-04,5.93E-04,0.001282375
SAN CLEMENTE,Total,Azinphos Methyl,0.003389368,0.007200008,0.010589376
MISSION VIEJO,Total,Benz[a]anthracene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Benz[a]anthracene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Benz[a]anthracene,0.007511023,0.010826509,0.018337532
ORANGE CO,Total,Benz[a]anthracene,0.004596378,0.013599938,0.018196315
LAGUNA NIGUEL,Total,Benz[a]anthracene,0.002669519,0.026882881,0.0295524
ALISO VIEJO,Total,Benz[a]anthracene,5.26E-04,0.002050236,0.002575937
LAGUNA HILLS,Total,Benz[a]anthracene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Benz[a]anthracene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Benz[a]anthracene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Benz[a]anthracene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Benz[a]anthracene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Benz[a]anthracene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Benzo[a]pyrene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Benzo[a]pyrene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Benzo[a]pyrene,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Benzo[a]pyrene,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Benzo[a]pyrene,0.002756778,0.023012852,0.02576963
ALISO VIEJO,Total,Benzo[a]pyrene,4.53E-04,0.001714322,0.002167157
LAGUNA HILLS,Total,Benzo[a]pyrene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Benzo[a]pyrene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Benzo[a]pyrene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Benzo[a]pyrene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Benzo[a]pyrene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Benzo[a]pyrene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Benzo[b]fluoranthene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Benzo[b]fluoranthene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Benzo[b]fluoranthene,0.017025361,0.020039452,0.037064813
ORANGE CO,Total,Benzo[b]fluoranthene,0.004653092,0.023035593,0.027688685
LAGUNA NIGUEL,Total,Benzo[b]fluoranthene,0.002696926,0.032411495,0.035108421
ALISO VIEJO,Total,Benzo[b]fluoranthene,6.80E-04,0.00293288,0.003612537
LAGUNA HILLS,Total,Benzo[b]fluoranthene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Benzo[b]fluoranthene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Benzo[b]fluoranthene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Benzo[b]fluoranthene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Benzo[b]fluoranthene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Benzo[b]fluoranthene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,"Benzo(g,h,i)perylene",0.004666771,0.004977393,0.009644163
RANCHO SANTA MARGARITA,Total,"Benzo(g,h,i)perylene",0.001033747,0.005205052,0.0062388
ORANGE CO,Total,"Benzo(g,h,i)perylene",0.004558187,0.00985056,0.014408747
LAGUNA NIGUEL,Total,"Benzo(g,h,i)perylene",0.003417898,0.049073353,0.052491251
ALISO VIEJO,Total,"Benzo(g,h,i)perylene",5.77E-04,0.003667259,0.004244181
LAGUNA HILLS,Total,"Benzo(g,h,i)perylene",1.41E-05,0.00260228,0.002616332
