JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
SAN JUAN CAPISTRANO,Total,Phosphorus as PO4,193.9582365,678.5647231,872.5229596
LAGUNA BEACH,Total,Phosphorus as PO4,34.22545205,43.58039114,77.80584319
SAN CLEMENTE,Total,Phosphorus as PO4,854.5433066,1900.802168,2755.345474
MISSION VIEJO,Total,Silver,0.186670823,0.199095713,0.385766536
MISSION VIEJO,Dissolved,Silver,0.186670823,0.199095713,0.385766536
LAKE FOREST,Total,Silver,0.006015403,0.042584038,0.048599441
LAKE FOREST,Dissolved,Silver,0.006015403,0.042584038,0.048599441
RANCHO SANTA MARGARITA,Total,Silver,0.041349884,0.208202096,0.24955198
RANCHO SANTA MARGARITA,Dissolved,Silver,0.041349884,0.208202096,0.24955198
ORANGE CO,Total,Silver,0.182314209,0.345330762,0.527644971
ORANGE CO,Dissolved,Silver,0.182314209,0.345330762,0.527644971
LAGUNA NIGUEL,Total,Silver,0.104190713,0.621968981,0.726159694
ALISO VIEJO,Total,Silver,0.018012121,0.046333022,0.064345143
LAGUNA NIGUEL,Dissolved,Silver,0.104190713,0.621968981,0.726159694
ALISO VIEJO,Dissolved,Silver,0.018012121,0.046333022,0.064345143
LAGUNA HILLS,Total,Silver,5.62E-04,0.104091202,0.104653278
LAGUNA WOODS,Total,Silver,0.001028787,0.015948826,0.016977613
LAGUNA HILLS,Dissolved,Silver,5.62E-04,0.104091202,0.104653278
LAGUNA WOODS,Dissolved,Silver,0.001028787,0.015948826,0.016977613
DANA POINT,Total,Silver,0.031564466,0.025227888,0.056792353
SAN JUAN CAPISTRANO,Total,Silver,0.024609174,0.108787932,0.133397105
DANA POINT,Dissolved,Silver,0.031564466,0.025227888,0.056792353
SAN JUAN CAPISTRANO,Dissolved,Silver,0.024609174,0.108787932,0.133397105
LAGUNA BEACH,Total,Silver,0.013788889,0.01185861,0.025647499
LAGUNA BEACH,Dissolved,Silver,0.013788889,0.01185861,0.025647499
SAN CLEMENTE,Total,Silver,0.067787353,0.144000164,0.211787518
SAN CLEMENTE,Dissolved,Silver,0.067787353,0.144000164,0.211787518
MISSION VIEJO,Total,Total Kjeldahl Nitrogen,2686.801201,3231.987077,5918.788278
