JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
DANA POINT,Total,Copper,7.491666666666666,ug/L
SAN JUAN CAPISTRANO,Total,Copper,2.9875,ug/L
DANA POINT,Dissolved,Copper,7.491666666666666,ug/L
SAN JUAN CAPISTRANO,Dissolved,Copper,2.9875,ug/L
LAGUNA BEACH,Total,Copper,1.75,ug/L
LAGUNA BEACH,Dissolved,Copper,1.75,ug/L
SAN CLEMENTE,Total,Copper,4.075,ug/L
SAN CLEMENTE,Dissolved,Copper,4.075,ug/L
MISSION VIEJO,Total,delta BHC,2.5,ng/L
LAKE FOREST,Total,delta BHC,2.5,ng/L
RANCHO SANTA MARGARITA,Total,delta BHC,2.5,ng/L
ORANGE CO,Total,delta BHC,2.5,ng/L
LAGUNA NIGUEL,Total,delta BHC,2.5,ng/L
ALISO VIEJO,Total,delta BHC,2.5,ng/L
LAGUNA HILLS,Total,delta BHC,2.5,ng/L
LAGUNA WOODS,Total,delta BHC,2.5,ng/L
DANA POINT,Total,delta BHC,2.5,ng/L
SAN JUAN CAPISTRANO,Total,delta BHC,2.5,ng/L
LAGUNA BEACH,Total,delta BHC,2.5,ng/L
SAN CLEMENTE,Total,delta BHC,2.5,ng/L
MISSION VIEJO,Total,Demeton,1,ng/L
LAKE FOREST,Total,Demeton,1,ng/L
RANCHO SANTA MARGARITA,Total,Demeton,1,ng/L
ORANGE CO,Total,Demeton,1,ng/L
LAGUNA NIGUEL,Total,Demeton,1,ng/L
ALISO VIEJO,Total,Demeton,1,ng/L
LAGUNA HILLS,Total,Demeton,1,ng/L
LAGUNA WOODS,Total,Demeton,1,ng/L
DANA POINT,Total,Demeton,1,ng/L
SAN JUAN CAPISTRANO,Total,Demeton,1,ng/L
