Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
MISSION VIEJO,J01-9066-1 (J01P04),LAKE FOREST,3613.454747199359,1,3613.454747199359,NA,6821314.153797195
MISSION VIEJO,J01-9066-1 (J01P04),MISSION VIEJO,123394.54342642559,1,123394.54342642559,NA,31892100.351538483
MISSION VIEJO,J01-9066-2 (J01P03),LAKE FOREST,41264.326186261926,1,41264.326186261926,NA,6821314.153797195
MISSION VIEJO,J01-9066-2 (J01P03),MISSION VIEJO,5000953.275578515,1,5000953.275578515,NA,31892100.351538483
ALISO VIEJO,J01-9082-4,ALISO VIEJO,363945.37594010396,1,363945.37594010396,NA,7421844.377621106
ALISO VIEJO,J01-9082-4,ORANGE CO,8006.6205970228775,1,8006.6205970228775,NA,55316727.45998856
LAGUNA NIGUEL,J01-9144-1 (J01P23),ALISO VIEJO,123984,1,123984,NA,7421844.377621106
ALISO VIEJO,J01-9144-4 (J01P26),ALISO VIEJO,65479.173983999994,0,0,NA,7421844.377621106
LAKE FOREST,J01-9259-3,LAKE FOREST,105329.80399414683,0.77,81103.94907549306,NA,6821314.153797195
LAKE FOREST,J01-9264-1 (J01P06),LAKE FOREST,1777720.4383291316,1,1777720.4383291316,NA,6821314.153797195
ALISO VIEJO,J01-9313-1,ALISO VIEJO,848801.8289583201,0.77,653577.4082979064,NA,7421844.377621106
ALISO VIEJO,J01-9313-1,ORANGE CO,6687.761100890689,0.77,5149.57604768583,NA,55316727.45998856
LAKE FOREST,J01-9349-1,LAKE FOREST,25363.948752737277,1,25363.948752737277,NA,6821314.153797195
LAKE FOREST,J01-9349-1,MISSION VIEJO,37.65118121856,1,37.65118121856,NA,31892100.351538483
LAKE FOREST,J01-9782-1 (J01TBN3),LAKE FOREST,42418.18697363636,0,0,NA,6821314.153797195
LAKE FOREST,J01-9782-1 (J01TBN3),MISSION VIEJO,51053.860677359815,0,0,NA,31892100.351538483
LAKE FOREST,J01-9785-1,LAKE FOREST,4230674.836416,1,4230674.836416,NA,6821314.153797195
LAGUNA NIGUEL,J03-9215-1,LAGUNA NIGUEL,490391.1124267824,1,490391.1124267824,NA,99629956.0207097
LAGUNA NIGUEL,J03-9215-3,LAGUNA NIGUEL,843091.2000000001,1,843091.2000000001,NA,99629956.0207097
LAGUNA NIGUEL,J03-9216-1 (J03P01),LAGUNA NIGUEL,619920,0.5,309960,NA,99629956.0207097
LAGUNA NIGUEL,J03-9216-2,LAGUNA NIGUEL,16910932.78635419,0.9233333333333333,15614427.939400371,NA,99629956.0207097
LAGUNA NIGUEL,J03-9216-2,SAN JUAN CAPISTRANO,25281.606532597634,0.9233333333333333,23343.35003176515,NA,17426169.430142604
LAGUNA NIGUEL,J03-9216-5,LAGUNA NIGUEL,490391.1124267824,1,490391.1124267824,NA,99629956.0207097
LAGUNA NIGUEL,J03-9234-5,LAGUNA NIGUEL,215429.39107199997,0.885,190655.01109871996,NA,99629956.0207097
LAGUNA NIGUEL,J03-9234-6,LAGUNA NIGUEL,960088.3546853288,1,960088.3546853288,NA,99629956.0207097
LAGUNA NIGUEL,J03-9234-6,SAN JUAN CAPISTRANO,6986.843467557407,1,6986.843467557407,NA,17426169.430142604
LAGUNA NIGUEL,J03-9234-8,LAGUNA NIGUEL,2012421.796487954,1,2012421.796487954,NA,99629956.0207097
LAGUNA NIGUEL,J03-9234-8,SAN JUAN CAPISTRANO,5141.691083519272,1,5141.691083519272,NA,17426169.430142604
LAGUNA NIGUEL,J03-9368-1 (J03TBN1),LAGUNA NIGUEL,73429.4513329776,0.885,64985.06442968517,NA,99629956.0207097
LAGUNA NIGUEL,J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,960.9487525713599,0.885,850.4396460256535,NA,17426169.430142604
LAGUNA NIGUEL,J03-9368-2 (J03TBN2),LAGUNA NIGUEL,49593.600000000006,1,49593.600000000006,NA,99629956.0207097
LAGUNA NIGUEL,J04-9249-1,ALISO VIEJO,1629953.9817760747,1,1629953.9817760747,NA,7421844.377621106
LAGUNA NIGUEL,J04-9249-1,LAGUNA HILLS,14513370.72291995,1,14513370.72291995,NA,16673824.852583786
LAGUNA NIGUEL,J04-9249-1,LAGUNA NIGUEL,4059353.067586216,1,4059353.067586216,NA,99629956.0207097
MISSION VIEJO,J07-9022-1,MISSION VIEJO,30227.904000000006,1,30227.904000000006,NA,31892100.351538483
MISSION VIEJO,J07-9022-6,MISSION VIEJO,46744.78636800001,0.885,41369.13593568,NA,31892100.351538483
MISSION VIEJO,J07-9109-1,LAKE FOREST,11150.547416274703,0.77,8585.921510531522,NA,6821314.153797195
MISSION VIEJO,J07-9109-1,MISSION VIEJO,141878.59760772524,0.77,109246.52015794844,NA,31892100.351538483
MISSION VIEJO,J07-9109-2,LAKE FOREST,19206.630381212693,0.885,16997.86788737323,NA,6821314.153797195
MISSION VIEJO,J07-9109-2,MISSION VIEJO,982642.6374647048,0.885,869638.7341562638,NA,31892100.351538483
MISSION VIEJO,J07-9109-4 (J07P02),LAKE FOREST,8421.502717869693,0.8333333333333334,7017.918931558078,NA,6821314.153797195
MISSION VIEJO,J07-9109-4 (J07P02),MISSION VIEJO,652020.0976849996,0.8333333333333334,543350.0814041663,NA,31892100.351538483
MISSION VIEJO,J07-9110-1,LAKE FOREST,161.8764551454718,0.77,124.64487046201327,NA,6821314.153797195
MISSION VIEJO,J07-9110-1,MISSION VIEJO,82478.41881395021,0.77,63508.382486741655,NA,31892100.351538483
MISSION VIEJO,J07-9110-2,MISSION VIEJO,25401.600000000002,0.5,12700.800000000001,NA,31892100.351538483
LAGUNA NIGUEL,K01-12032-2 (K01P11),LAGUNA NIGUEL,4633902,1,4633902,NA,99629956.0207097
LAGUNA NIGUEL,K01-12036-1,LAGUNA NIGUEL,2567588.0999999996,1,2567588.0999999996,NA,99629956.0207097
LAGUNA NIGUEL,K01-12036-10,LAGUNA NIGUEL,278220.1957242315,1,278220.1957242315,NA,99629956.0207097
LAGUNA NIGUEL,K01-12036-5,LAGUNA NIGUEL,1668334.2151748997,1,1668334.2151748997,NA,99629956.0207097
LAGUNA NIGUEL,K01-12058-1 (K01P08),LAGUNA NIGUEL,2157796.6941383393,0.77,1661503.4544865214,NA,99629956.0207097
LAGUNA NIGUEL,K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,49118.50338991546,0.77,37821.24761023491,NA,17426169.430142604
LAGUNA NIGUEL,K01-12058-2 (K01P09),LAGUNA NIGUEL,2087761.6280753242,0.77,1607576.4536179998,NA,99629956.0207097
LAGUNA NIGUEL,K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,63965.81535088518,0.77,49253.67782018159,NA,17426169.430142604
LAGUNA NIGUEL,K01-12062-1,LAGUNA NIGUEL,2028069.2819293418,0.5,1014034.6409646709,NA,99629956.0207097
LAGUNA NIGUEL,K01-12062-1,SAN JUAN CAPISTRANO,73132.9458325841,0.5,36566.47291629205,NA,17426169.430142604
LAGUNA NIGUEL,K01-12138-1 (K01TBN1),LAGUNA NIGUEL,98026.87721908736,1,98026.87721908736,NA,99629956.0207097
LAGUNA NIGUEL,K01-12155-1,LAGUNA NIGUEL,1721.4,0.885,1523.4389999999999,NA,99629956.0207097
LAGUNA NIGUEL,K01-12155-5,LAGUNA NIGUEL,312715.2,0.77,240790.70400000003,NA,99629956.0207097
LAGUNA NIGUEL,K01-12156-1,LAGUNA NIGUEL,516021.30994037725,0.77,397336.4086540905,NA,99629956.0207097
LAGUNA NIGUEL,K01-12156-6,LAGUNA NIGUEL,3157228.8,1,3157228.8,NA,99629956.0207097
RANCHO SANTA MARGARITA,L01-125-1,ORANGE CO,7113392.103577319,0.77,5477311.919754536,NA,55316727.45998856
RANCHO SANTA MARGARITA,L01-125-1,RANCHO SANTA MARGARITA,34468767.946321264,0.77,26540951.318667375,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-125-2,ORANGE CO,181420.58146547744,0.77,139693.84772841763,NA,55316727.45998856
RANCHO SANTA MARGARITA,L01-125-2,RANCHO SANTA MARGARITA,167869.56008949157,0.77,129259.56126890851,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-125-3,ORANGE CO,6056.382482361663,0.77,4663.414511418481,NA,55316727.45998856
RANCHO SANTA MARGARITA,L01-125-3,RANCHO SANTA MARGARITA,562804.2083914912,0.77,433359.24046144827,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-218-1,ORANGE CO,67441.76906603793,0.77,51930.162180849205,NA,55316727.45998856
RANCHO SANTA MARGARITA,L01-218-1,RANCHO SANTA MARGARITA,87079.20239362145,0.77,67050.98584308852,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-218-2,RANCHO SANTA MARGARITA,333904.7448,0.77,257106.65349599998,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-218-3,RANCHO SANTA MARGARITA,87079.20239362145,0.885,77065.09411835499,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-218-4,RANCHO SANTA MARGARITA,1650944.814912,0.635,1048349.9574691199,NA,33350804.219124522
RANCHO SANTA MARGARITA,L01-223-1 (L08TBN1),ORANGE CO,18593.839170502844,0.77,14317.25616128719,NA,55316727.45998856
RANCHO SANTA MARGARITA,L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,415306.96157146746,0.77,319786.36041002994,NA,33350804.219124522
ORANGE CO,L01-242-1 (L07P16),ORANGE CO,77451.05144648417,0.59,45696.12035342566,NA,55316727.45998856
ORANGE CO,L01-242-1 (L07P16),RANCHO SANTA MARGARITA,264.398565950307,0.59,155.99515391068113,NA,33350804.219124522
ORANGE CO,L01-261-1,ORANGE CO,24069.752567061114,1,24069.752567061114,NA,55316727.45998856
ORANGE CO,L01-261-1,RANCHO SANTA MARGARITA,35.847432215712,1,35.847432215712,NA,33350804.219124522
ORANGE CO,L01-303-1,ORANGE CO,67441.76906603793,0.635,42825.52335693408,NA,55316727.45998856
ORANGE CO,L01-303-2,ORANGE CO,1164300.48,0.635,739330.8047999999,NA,55316727.45998856
ORANGE CO,L01-303-3,ORANGE CO,67441.76906603793,0.77,51930.162180849205,NA,55316727.45998856
ORANGE CO,L01-303-5,ORANGE CO,184154.39125782406,1,184154.39125782406,NA,55316727.45998856
ORANGE CO,L01-303-5,RANCHO SANTA MARGARITA,146.90198464686944,1,146.90198464686944,NA,33350804.219124522
ORANGE CO,L01-335-1,ORANGE CO,308294.9319027567,0.77,237387.09756512265,NA,55316727.45998856
ORANGE CO,L01-335-1,RANCHO SANTA MARGARITA,78026.83745724322,0.77,60080.66484207728,NA,33350804.219124522
ORANGE CO,L01-335-2,ORANGE CO,46190.091199331524,0.77,35566.370223485275,NA,55316727.45998856
ORANGE CO,L01-335-2,RANCHO SANTA MARGARITA,122549.10880066847,0.77,94362.81377651473,NA,33350804.219124522
ORANGE CO,L01-372-1,ORANGE CO,346527.6217188649,0.885,306676.9452211954,NA,55316727.45998856
ORANGE CO,L01-391-3,ORANGE CO,78343.2,0.59,46222.488,NA,55316727.45998856
ORANGE CO,L01-399-2,ORANGE CO,16632.864,0.77,12807.305280000002,NA,55316727.45998856
ORANGE CO,L01-404-2,ORANGE CO,2711879.9999999995,0.77,2088147.5999999996,NA,55316727.45998856
ORANGE CO,L01-414-1,ORANGE CO,67441.76906603793,0.77,51930.162180849205,NA,55316727.45998856
ORANGE CO,L01-414-3,ORANGE CO,3859406.602099406,0.885,3415574.842857974,NA,55316727.45998856
ORANGE CO,L01-458-1,ORANGE CO,9368.058239999998,0.385,3606.7024223999997,NA,55316727.45998856
ORANGE CO,L01-471-1,ORANGE CO,133389.23184,0.77,102709.7085168,NA,55316727.45998856
ORANGE CO,L01-494-1,ORANGE CO,1181692.8,0.77,909903.456,NA,55316727.45998856
ORANGE CO,L01-514-1,ORANGE CO,50284.8,0.77,38719.296,NA,55316727.45998856
ORANGE CO,L01-517-3,ORANGE CO,25074.92496606136,0.77,19307.69222386725,NA,55316727.45998856
ORANGE CO,L01-517-3,SAN JUAN CAPISTRANO,3792.573015051885,0.77,2920.281221589951,NA,17426169.430142604
ORANGE CO,L01-517-6,ORANGE CO,279281.7792,0.77,215046.96998399997,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-602-2,SAN JUAN CAPISTRANO,131514.27372400573,0.5,65757.13686200287,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-618-1,SAN JUAN CAPISTRANO,100569.6,0.75,75427.20000000001,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-618-2,SAN JUAN CAPISTRANO,131514.27372400573,1,131514.27372400573,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1503515.5200000003,1,1503515.5200000003,NA,17426169.430142604
DANA POINT,L01-727-1 (L01S04),DANA POINT,1105599.5505520673,0,0,NA,4041123.28077577
DANA POINT,L01-727-1 (L01S04),LAGUNA NIGUEL,86586.37521527609,0,0,NA,99629956.0207097
DANA POINT,L01-728-2,DANA POINT,8227.842706278425,0.5,4113.921353139212,NA,4041123.28077577
DANA POINT,L01-728-3 (L01S02),DANA POINT,74058.27427538221,1,74058.27427538221,NA,4041123.28077577
DANA POINT,L01-728-3 (L01S02),SAN CLEMENTE,1727.2525514696497,1,1727.2525514696497,NA,23066632.703704353
