Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L01-747-2,ORANGE CO,33739.93768446083,55316727.45998856,NA
L01-747-2,SAN JUAN CAPISTRANO,154272.30619732794,17426169.430142604,NA
L01-749-2d,SAN JUAN CAPISTRANO,1255155.3426931202,17426169.430142604,NA
L01-749-5,ORANGE CO,22583.171635846764,55316727.45998856,NA
L01-749-5,SAN JUAN CAPISTRANO,106122.75895663322,17426169.430142604,NA
L01-760-1,ORANGE CO,364772.0905373161,55316727.45998856,NA
L01-760-2,ORANGE CO,414568.1925,55316727.45998856,NA
L01-766-2 (L01S06),SAN JUAN CAPISTRANO,1774555.4726753884,17426169.430142604,NA
L01-766-3,SAN JUAN CAPISTRANO,1765263.1151519995,17426169.430142604,NA
L01-766-4,SAN JUAN CAPISTRANO,1617967.7475839998,17426169.430142604,NA
L01-766-7,SAN JUAN CAPISTRANO,2281.2956639999998,17426169.430142604,NA
L02-166-1 (L02PXX),MISSION VIEJO,29321.71371102794,31892100.351538483,NA
L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,507509.2951784887,33350804.219124522,NA
L02-166-2 (L02P25),MISSION VIEJO,253748.21541547097,31892100.351538483,NA
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,504252.3759781285,33350804.219124522,NA
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,17736.679311120002,33350804.219124522,NA
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,92806.56000000001,33350804.219124522,NA
L02-344-2,ORANGE CO,6291604.9647919405,55316727.45998856,NA
L02-344-2,RANCHO SANTA MARGARITA,39315.40178843861,33350804.219124522,NA
L02-359-1 (L02P43),MISSION VIEJO,132706.1895545755,31892100.351538483,NA
L02-359-1 (L02P43),ORANGE CO,1173.4842968268724,55316727.45998856,NA
L02-366-1 (MVL02P14),MISSION VIEJO,517586.5653502029,31892100.351538483,NA
L02-366-1 (MVL02P14),ORANGE CO,251.89788564829001,55316727.45998856,NA
L02-396-1,MISSION VIEJO,291194.98731342045,31892100.351538483,NA
