Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L03-241-3,MISSION VIEJO,6334377.734202056,31892100.351538483,NA
L03-241-3,RANCHO SANTA MARGARITA,33420.71190382429,33350804.219124522,NA
L03-241-4,MISSION VIEJO,77678.600832,31892100.351538483,NA
L03-316-1,MISSION VIEJO,50803.200000000004,31892100.351538483,NA
L03-316-2,MISSION VIEJO,63504,31892100.351538483,NA
L03-316-4,MISSION VIEJO,13071.845616479999,31892100.351538483,NA
L03-418-1,LAGUNA NIGUEL,6788.94706654416,99629956.0207097,NA
L03-418-1,MISSION VIEJO,117195.0524238816,31892100.351538483,NA
L03-418-2,LAGUNA NIGUEL,104463.83505599998,99629956.0207097,NA
L03-418-3,LAGUNA NIGUEL,6176.634912,99629956.0207097,NA
L03-455-2,SAN JUAN CAPISTRANO,49593.600000000006,17426169.430142604,NA
L03-455-5,LAGUNA NIGUEL,539603.542550839,99629956.0207097,NA
L03-455-5,SAN JUAN CAPISTRANO,70556.64090398552,17426169.430142604,NA
L03-455-7,LAGUNA NIGUEL,595766.9019255997,99629956.0207097,NA
L03-455-7,SAN JUAN CAPISTRANO,97332.17044535649,17426169.430142604,NA
L03-662-1,MISSION VIEJO,76204.8,31892100.351538483,NA
L03-691-1 (L03P09),MISSION VIEJO,3755934.212616695,31892100.351538483,NA
L03-691-1 (L03P09),ORANGE CO,10644.14100664752,55316727.45998856,NA
L03-693-1 (L03P11),MISSION VIEJO,475750.79999999993,31892100.351538483,NA
L03-708-1,LAGUNA HILLS,747.470264568068,16673824.852583786,NA
L03-708-1,LAGUNA NIGUEL,238726.1359912186,99629956.0207097,NA
L03-708-11 (L03P05),LAGUNA HILLS,539129.2064815641,16673824.852583786,NA
L03-708-11 (L03P05),LAGUNA NIGUEL,6400.394353096127,99629956.0207097,NA
L03-708-13,MISSION VIEJO,320292,31892100.351538483,NA
L03-708-9,LAGUNA HILLS,989790.1637922995,16673824.852583786,NA
L03-708-9,LAGUNA NIGUEL,27739.63624840153,99629956.0207097,NA
L04-136-1 (L04P07),MISSION VIEJO,5594000.640157439,31892100.351538483,NA
L04-266-1,MISSION VIEJO,39435.984039435985,31892100.351538483,NA
L04-301-1 (L04P08),MISSION VIEJO,471923.58495744003,31892100.351538483,NA
L04-702-1 (L04P02),LAGUNA HILLS,341271.90993516665,16673824.852583786,NA
L05-489-3d,ORANGE CO,23794296.867936004,55316727.45998856,NA
L05-489-4,ORANGE CO,5215064.601599998,55316727.45998856,NA
L05-489-7,ORANGE CO,776134.9332887027,55316727.45998856,NA
LC01-11446-1,LAGUNA BEACH,44203.4424686615,1899568.6488852124,NA
LC01-11446-1,ORANGE CO,62612.22664095782,55316727.45998856,NA
LC01-11480-1,LAGUNA BEACH,72252.73947727449,1899568.6488852124,NA
LC01-11480-1,ORANGE CO,34808.655001826024,55316727.45998856,NA
LC02-11508-2,LAGUNA BEACH,0,1899568.6488852124,NA
LC02-11508-2,ORANGE CO,0,55316727.45998856,NA
LC03-11515-1,LAGUNA BEACH,262242.8264802576,1899568.6488852124,NA
LC03-11515-1,ORANGE CO,5998.069519742361,55316727.45998856,NA
LC04-11199-1,LAGUNA BEACH,466089.23682938877,1899568.6488852124,NA
LC04-11199-1,ORANGE CO,31574.76316563456,55316727.45998856,NA
LC05-11017-2,LAGUNA BEACH,0,1899568.6488852124,NA
LC06-11019-1,LAGUNA BEACH,74339.04479938558,1899568.6488852124,NA
LC06-11019-1,ORANGE CO,8071.70477497344,55316727.45998856,NA
LC06-11509-2,LAGUNA BEACH,141943.40909789182,1899568.6488852124,NA
LC06-11509-2,ORANGE CO,82005.39300722687,55316727.45998856,NA
M00.1-071-2 (M00S04),SAN CLEMENTE,75427.2000754272,23066632.703704353,NA
M00.1-071-3 (M00S04),SAN CLEMENTE,250812.90401300642,23066632.703704353,NA
M00.2-066-1 (M00S07),SAN CLEMENTE,70321.97394684373,23066632.703704353,NA
M01-038-3,SAN CLEMENTE,89004.09600000002,23066632.703704353,NA
M01-038-6,SAN CLEMENTE,182606.27622583107,23066632.703704353,NA
M01-038-6,SAN JUAN CAPISTRANO,1616.0686124044948,17426169.430142604,NA
M01-050-4,SAN CLEMENTE,930123.0513404999,23066632.703704353,NA
M01-060-3,DANA POINT,6048.355360682157,4041123.28077577,NA
M01-060-3,ORANGE CO,1411685.044838209,55316727.45998856,NA
M01-060-3,SAN CLEMENTE,6988454.069878484,23066632.703704353,NA
M01-060-3,SAN JUAN CAPISTRANO,1758708.3671564753,17426169.430142604,NA
M01-099-1,SAN CLEMENTE,1369281.377808,23066632.703704353,NA
M01-124-2,SAN CLEMENTE,100569.6,23066632.703704353,NA
M01-124-4,SAN CLEMENTE,15576.150803394601,23066632.703704353,NA
M01-124-4,SAN JUAN CAPISTRANO,137.84919629112,17426169.430142604,NA
M01-168-2d (M00P03),DANA POINT,220970.52310136275,4041123.28077577,NA
M01-168-2d (M00P03),SAN CLEMENTE,308858.3956225567,23066632.703704353,NA
