JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA NIGUEL,99629956.0207097,Dissolved,Manganese,264.646875,ug/L,26366756517.268257,1646.0214707229886
LAGUNA NIGUEL,99629956.0207097,Total,MBAS,0.06372222222222222,mg/L,6348642.19754189,396.3324559942728
LAGUNA NIGUEL,99629956.0207097,Total,Mercury,0.025,ug/L,2490748.9005177426,0.1554922451590434
LAGUNA NIGUEL,99629956.0207097,Dissolved,Mercury,0.025,ug/L,2490748.9005177426,0.1554922451590434
LAGUNA NIGUEL,99629956.0207097,Total,Merphos,9.417272727272728,ng/L,938242467.6532108,0.05857251518554656
LAGUNA NIGUEL,99629956.0207097,Total,Methoxychlor,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Methyl parathion,1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,Mevinphos,5,ng/L,498149780.10354847,0.031098449031808677
LAGUNA NIGUEL,99629956.0207097,Total,Mirex,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Naphthalene,2.5,ng/L,249074890.05177423,0.015549224515904339
LAGUNA NIGUEL,99629956.0207097,Total,Nickel,21.59375,ug/L,2151384362.8222,134.3064267561237
LAGUNA NIGUEL,99629956.0207097,Dissolved,Nickel,21.59375,ug/L,2151384362.8222,134.3064267561237
LAGUNA NIGUEL,99629956.0207097,Total,Nitrate+Nitrite Nitrogen,1.7655555555555555,mg/L,175902222.35211965,10981.207891454218
LAGUNA NIGUEL,99629956.0207097,Total,Orthophosphate as P,0.133625,mg/L,13313052.873267332,831.1060503750869
LAGUNA NIGUEL,99629956.0207097,Total,Phenanthrene,4.957142857142857,ng/L,493879924.84551805,0.030831890897250316
LAGUNA NIGUEL,99629956.0207097,Total,Phorate,5,ng/L,498149780.10354847,0.031098449031808677
LAGUNA NIGUEL,99629956.0207097,Total,Phosphorus as PO4,0.5925,mg/L,59030748.942270495,3685.166210269328
