"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","JURISDICTI2","Acres","AREA","PERCENTAGE","area_acres","JURISDICTI"
"77",0.996847,"L05-049-1","Flowing",2023-08-16,"Yes","Direct Connection","Priority",65,0.220708,0.116,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"78",0.996847,"L05-049-1","Flowing",2021-10-26,"Yes","Direct Connection","Priority",65,0.2496,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"79",0.996847,"L05-049-1","Flowing",2021-09-09,"Yes","Direct Connection","Priority",65,0.053333,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"80",0.996847,"L05-049-1","Flowing",2021-05-26,"Yes","Direct Connection","Priority",65,0.158815,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"81",0.996847,"L05-049-1","Flowing",2022-09-06,"Yes","Direct Connection","Priority",65,0.6,0.163,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"82",0.996847,"L05-049-1","Flowing",2022-06-16,"Yes","Direct Connection","Priority",65,0.430769,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"83",0.996847,"L05-049-1","Flowing",2022-12-08,"Yes","Direct Connection","Priority",65,0.14,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"84",0.008624,"L02-374-2 (MVL02P20)","Other - See Comments",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"85",0.008624,"L02-374-2 (MVL02P20)","Flowing",2021-04-29,"Unknown","Undetermined","Not A Priority",NA,0.0408,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"86",0.008624,"L02-374-2 (MVL02P20)","Flowing",2022-09-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"87",0.008624,"L02-374-2 (MVL02P20)","Flowing",2022-06-17,"Unknown","Undetermined","Not A Priority",NA,0.01,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"88",0.008624,"L02-374-2 (MVL02P20)","Pooled or Ponded",2021-08-12,"Unknown",NA,"Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"89",0.008624,"L02-374-2 (MVL02P20)","Dry",2023-06-01,"Unknown","Unsafe to Access","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"90",0,"L02-344-1","Pooled or Ponded",2022-07-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"91",0,"L02-344-1","Pooled or Ponded",2022-07-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"92",0,"L02-344-1","Pooled or Ponded",2021-05-03,"Unknown","Direct Connection","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"93",0,"L02-344-1","Pooled or Ponded",2021-05-03,"Unknown","Direct Connection","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"94",0,"L02-344-1","Dry",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"95",0,"L02-344-1","Dry",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"96",0,"L02-344-1","Dry",2023-06-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"97",0,"L02-344-1","Dry",2023-06-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"98",0,"L02-344-1","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"99",0,"L02-344-1","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"100",1.889189,"L05-489-3d","Flowing",2023-06-27,"Yes","Direct Connection",NA,NA,1.207154,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"101",1.889189,"L05-489-3d","Flowing",2021-09-09,"Yes","Direct Connection",NA,NA,1.43,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"102",1.889189,"L05-489-3d","Flowing",2022-09-06,"Yes","Direct Connection",NA,NA,2.053333,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"103",1.889189,"L05-489-3d","Flowing",2022-06-16,"Yes","Direct Connection",NA,NA,1.96248,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"104",1.889189,"L05-489-3d","Flowing",2023-08-16,"Yes","Direct Connection",NA,NA,0.837126,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"105",1.889189,"L05-489-3d","Flowing",2021-05-26,"Yes","Direct Connection",NA,NA,1.08,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"106",0.069986,"L01-733-7","Flowing",2022-09-26,"Yes","Direct Connection",NA,NA,0.0576,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
"107",0.069986,"L01-733-7","Flowing",2023-08-15,"Yes","Undetermined",NA,NA,0.016891,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
"108",0.069986,"L01-733-7","Flowing",2023-05-31,"Yes","Direct Connection",NA,NA,0.145455,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
"109",0.069986,"L01-733-7","Flowing",2022-09-19,"Yes","Direct Connection",NA,NA,0.06,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
"110",0,"L01-399-1","Dry",2021-04-13,"Unknown","None - Flow Infiltrates or Outfall is Dry",NA,NA,NA,NA,33.56325497,-117.54652304,NA,NA,NA,NA,NA,"ORANGE CO"
"111",0,"L01-399-1",NA,2023-08-17,"Unknown",NA,NA,NA,NA,NA,33.56325497,-117.54652304,NA,NA,NA,NA,NA,"ORANGE CO"
"112",0,"L01-399-1","Dry",2021-04-29,"Unknown","None - Flow Infiltrates or Outfall is Dry",NA,NA,NA,NA,33.56325497,-117.54652304,NA,NA,NA,NA,NA,"ORANGE CO"
"113",0,"L01-733-5","Dry",2022-08-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62234264,-117.57674145,NA,NA,NA,NA,NA,"ORANGE CO"
"114",0,"L01-733-5","Dry",2023-05-31,"Unknown",NA,"Not A Priority",NA,NA,NA,33.62234264,-117.57674145,NA,NA,NA,NA,NA,"ORANGE CO"
"115",0,"L01-733-5","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62234264,-117.57674145,NA,NA,NA,NA,NA,"ORANGE CO"
"116",0,"L01-733-5","Dry",2023-08-15,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62234264,-117.57674145,NA,NA,NA,NA,NA,"ORANGE CO"
"117",0.093075,"L05-489-7","Flowing",2023-06-27,"Yes",NA,"Priority",51,NA,0.019,33.53268584,-117.64672397,"ORANGE CO",156.9198733,92.32964159,100,92.32955997,"ORANGE CO"
"118",0.093075,"L05-489-7","Pooled or Ponded",2022-06-16,"Yes","Direct Connection","Priority",51,0.113565,0.013,33.53268584,-117.64672397,"ORANGE CO",156.9198733,92.32964159,100,92.32955997,"ORANGE CO"
