FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
J01-9031-1,RESSFL,170141.7664,3.905933126,1.306508299
J01-9031-1,TRANS,2020953.964,46.39490468,15.51878284
J01-9031-1,UTIL,70184.61474,1.611223496,0.538943397
J01-9033-1,EDU,52110.50916,1.196297466,2.910398611
J01-9033-1,OSDEV,164434.4527,3.774910708,9.183748353
J01-9033-1,OSLOW,132441.262,3.040445174,7.396912277
J01-9033-1,RESSFH,1054213.235,24.20150258,58.87834883
J01-9033-1,TRANS,387294.3297,8.891089966,21.63058656
J01-9040-1,COMM,100125.6485,2.298577801,1.5730032
J01-9040-1,IND,150.6391184,0.003458212,0.002366585
J01-9040-1,OSDEV,642805.7378,14.75684823,10.098666
J01-9040-1,OSFOR,66936.95084,1.536667093,1.05159906
J01-9040-1,OSIRR,55515.72051,1.274470674,0.872168194
J01-9040-1,OSLOW,191674.469,4.400257936,3.011261926
J01-9040-1,RESMF,998655.4874,22.92606708,15.68916957
J01-9040-1,RESSFH,3326690.396,76.37060841,52.26327836
J01-9040-1,TRANS,982698.7052,22.5597483,15.43848386
J01-9046-1,OSDEV,873708.5457,20.05766852,30.51950026
J01-9046-1,OSFOR,2660.940881,0.061087041,0.092949286
J01-9046-1,OSIRR,11565.54562,0.265509456,0.403995903
J01-9046-1,RESSFH,1371818.935,31.49275532,47.91898688
J01-9046-1,TRANS,603033.8423,13.84380749,21.06456621
J01-9046-2,EDU,12354.89538,0.283630505,0.611749647
J01-9046-2,OSDEV,363148.1056,8.336766718,17.98119033
J01-9046-2,OSIRR,236.8712034,0.005437836,0.01172862
J01-9046-2,OSLOW,166929.4353,3.832187856,8.265470479
J01-9046-2,RESSFH,1008686.888,23.15635728,49.9448865
J01-9046-2,TRANS,466705.1483,10.7141188,23.10879216
J01-9046-2,UTIL,1538.68547,0.035323499,0.076187638
J01-9046-3,OSDEV,85373.64649,1.95991708,12.62188152
J01-9046-3,RESSFH,455039.6617,10.44631501,67.27435144
J01-9046-3,TRANS,135980.598,3.121697474,20.10375647
J01-9048-1,OSDEV,239844.521,5.50609459,18.37980587
J01-9048-1,OSIRR,65615.27386,1.506325444,5.028240757
J01-9048-1,OSLOW,477.3649641,0.010958835,0.036581513
J01-9048-1,RESSFH,801046.4828,18.38957041,61.38592946
J01-9048-1,TRANS,197951.3737,4.544356417,15.16944313
J01-9058-1,OSDEV,2472.217522,0.056754532,2.427136297
J01-9058-1,RESSFH,70849.48038,1.626486772,69.55753039
J01-9058-1,TRANS,28535.70998,0.655092381,28.0153574
J01-9066-1 (J01P04),COMM,862064.6073,19.7903594,24.0987953
J01-9066-1 (J01P04),EDU,39119.51976,0.898064193,1.093576155
J01-9066-1 (J01P04),OSDEV,160444.751,3.683319393,4.485191918
J01-9066-1 (J01P04),OSIRR,321454.346,7.379605872,8.986173908
J01-9066-1 (J01P04),OSLOW,1598.205504,0.036689897,0.044677426
