GlobalID,Facility Identifier,Facility Type,Inspection Status,Size 1,PRIORITY,Jurisdiction,Persistent Flow,AVGDISCHARGE,Accessibility,POINT_Y,POINT_X
{B1EF7D05-C4F9-490F-9BA9-7AFF1949A39B},L03-172-3,Outfall,Verified,42,NA,Mission Viejo,Yes,NA,Difficult accessibility,33.65148883,-117.6374948
{694200E0-F61E-493C-B4FD-35F10C96F460},L03-214-2 (L03P18),Outfall,Verified,96,Priority,Mission Viejo,Yes,0.592284,Easily accessible,33.62371995,-117.642303
{B36B0F25-9FB6-4A77-9FE1-F916D2BDB697},L03-240-1 (L03P14),Outfall,Verified,60,Priority,Mission Viejo,Yes,0.026244,Easily accessible,33.61518584,-117.637065
{8ED5573E-DFDE-4B76-A102-B5B1CF23353B},L03-241-3,Outfall,Verified,18,Not A Priority,Mission Viejo,Yes,0.34292,Difficult accessibility,33.60617429,-117.6478945
{47F716AD-32FA-4E10-9846-98471CD662B4},L03-241-4,Outfall,Verified,42,Priority,Mission Viejo,Yes,0.012388,Easily accessible,33.60922713,-117.6441002
{085CE6CF-F6A5-4D42-8E70-84B8F03CB7C2},L03-316-1,Outfall,Verified,42,Priority,Mission Viejo,Yes,0.034398,Easily accessible,33.59093014,-117.659656
{3F70559C-0FAD-4D97-9983-A4BA1217498F},L03-316-2,Outfall,Verified,36,Priority,Mission Viejo,Yes,0.022959,Easily accessible,33.5909262,-117.6594454
{ADF910F2-1925-4DDA-B329-3228C543E1CB},L03-316-3 (L03P12),Outfall,Verified,78,Priority,Mission Viejo,Yes,0.27494,Easily accessible,33.59601712,-117.6558902
{013DEF0D-A524-413F-A01F-3700B35EEACE},L03-316-4,Outfall,Verified,36,Priority,Mission Viejo,Yes,0.017486,Easily accessible,33.59615775,-117.6560681
{8087A7D1-E729-48B8-B8F0-6F542F01E3FD},L03-418-1,Outfall,Verified,36,Priority,Laguna Niguel,Unknown,0.064963,Easily accessible,33.54734199,-117.6744562
{06560A1C-A452-4CBC-9B61-5BD085C0EC0B},L03-418-2,Outfall,Verified,48,Not A Priority,Laguna Niguel,Unknown,0.007569,Unsafe accessibility,33.55408859,-117.675979
{22376DF3-FDA8-47F9-A88E-F80545512E84},L03-418-3,Outfall,Verified,48,Not A Priority,Laguna Niguel,Unknown,7.22E-04,Unsafe accessibility,33.55476269,-117.675949
{4224C49D-E7E1-4F5C-9724-113E11C9E9A8},L03-418-8,Outfall,Verified,66,Priority,Laguna Niguel,Yes,0.155072,Difficult accessibility,33.55756487,-117.6762969
{7E6762BC-9D48-4526-9D88-1BEE27C84D0A},L03-455-2,Box,Verified,NA,Not A Priority,San Juan Capistrano,Unknown,0.005926,Easily accessible,33.53742708,-117.6756682
