AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,30,TP,Total,mg/L,0.45,29.22715903033252,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,31,TSS,Total,mg/L,104.2,6767.711046579219,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,32,"Copper, Total",Total,mg/L,0.0268,1.7406396933620256,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,33,"Lead, Total",Total,mg/L,0.0021,0.1363934088082184,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,34,"Zinc, Total",Total,mg/L,0.1021,6.631317637771,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,35,"Copper, Total",Dissolved,mg/L,0.0148,0.9612487858864918,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,NA,NA,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,36,"Zinc, Total",Dissolved,mg/L,0.0413,2.682403706561629,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,28,Fecal coliforms,Total,CFU/100 mL,11600,753411.2105596827,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,29,TN,Total,mg/L,4.12,267.5908782332666,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,30,TP,Total,mg/L,0.45,29.22715903033252,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,31,TSS,Total,mg/L,104.2,6767.711046579219,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,32,"Copper, Total",Total,mg/L,0.0268,1.7406396933620256,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,33,"Lead, Total",Total,mg/L,0.0021,0.1363934088082184,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,34,"Zinc, Total",Total,mg/L,0.1021,6.631317637771,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,35,"Copper, Total",Dissolved,mg/L,0.0148,0.9612487858864918,64.94924228962782
406.8538708,single family,Single Family Residential,J03-9216-2,0.405,0.37132378492851387,0.0960657983231554,0.10477822832805642,NA,0.07919136914043395,0.07981888209877125,RESSFH,0.07981888209877125,813.7077416,36,"Zinc, Total",Dissolved,mg/L,0.0413,2.682403706561629,64.94924228962782
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,28,Fecal coliforms,Total,CFU/100 mL,11600,236824.87379856702,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,29,TN,Total,mg/L,4.12,84.11366207328415,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,30,TP,Total,mg/L,0.45,9.187171828392687,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,31,TSS,Total,mg/L,104.2,2127.3406767078177,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,32,"Copper, Total",Total,mg/L,0.0268,0.5471471222242755,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,33,"Lead, Total",Total,mg/L,0.0021,0.042873468532499195,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,34,"Zinc, Total",Total,mg/L,0.1021,2.0844672081753184,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,35,"Copper, Total",Dissolved,mg/L,0.0148,0.30215587346713724,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,NA,NA,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,36,"Zinc, Total",Dissolved,mg/L,0.0413,0.8431782144724843,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,28,Fecal coliforms,Total,CFU/100 mL,11600,236824.87379856702,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,29,TN,Total,mg/L,4.12,84.11366207328415,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,30,TP,Total,mg/L,0.45,9.187171828392687,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,31,TSS,Total,mg/L,104.2,2127.3406767078177,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,32,"Copper, Total",Total,mg/L,0.0268,0.5471471222242755,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,33,"Lead, Total",Total,mg/L,0.0021,0.042873468532499195,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,34,"Zinc, Total",Total,mg/L,0.1021,2.0844672081753184,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,35,"Copper, Total",Dissolved,mg/L,0.0148,0.30215587346713724,20.41593739642819
127.8891464,single family,Single Family Residential,J07-9109-4 (J07P02),0.405,0.3981258747581438,0.2679580349998111,0.27258465489300276,NA,0.09143756505923496,0.07981888209877125,RESSFH,0.07981888209877125,255.7782928,36,"Zinc, Total",Dissolved,mg/L,0.0413,0.8431782144724843,20.41593739642819
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,28,Fecal coliforms,Total,CFU/100 mL,11600,837325.3194943035,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,29,TN,Total,mg/L,4.12,297.3948548548733,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,30,TP,Total,mg/L,0.45,32.482447739003156,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,31,TSS,Total,mg/L,104.2,7521.491232009174,72.18321719778478
452.1688058,single family,Single Family Residential,K01-12156-4,0.405,0.31884533727982217,NA,NA,NA,0.06548683864112503,0.07981888209877125,RESSFH,0.07981888209877125,904.3376116,32,"Copper, Total",Total,mg/L,0.0268,1.9345102209006324,72.18321719778478
