FACILITYID,RC_M
L02-412-1,0.42042526126735086
L02-502-1,0.2808650818239556
L02-502-5,0.4450204987560381
L02-502-6,0.4018356141120242
L02-541-1,0.4402887860813125
L02-541-2,0.3652346084080637
L02-541-3,0.4620884174373866
L02-541-6,0.43087494123862685
L02-541-7,0.4151477414139317
L02-541-8,0.3927591246267554
L02-541-9 (L02P02),0.43100968264095574
L02-571-1,0.4804350330726234
L02-571-2,0.4571967850913942
L02-571-3,0.47646281662355905
L02-571-4,0.4787117411661694
L02-571-5 (L02TBN2),0.33865964155174166
L02-622-1 (L02P28),0.4194950562466363
L02-622-2 (L02P32),0.3979222320759835
L02-640-1 (L11P02),0.405549754803832
L02-641-1,0.39482251961985304
L02-641-2,0.39482251961985304
L03-073-2,0.415373902514996
L03-073-3 (With Upper Oso),0.343242396421049
L03-074-1 (L03B01),0.36064523058877185
L03-074-2,0.39007029641457897
L03-141-1 (With Upper Oso),0.3279756388744379
L03-141-2,0.36152737717397365
L03-141-3,0.36152737717397365
L03-142-1 (L03P24),0.21810250654504212
L03-172-2,0.36532825262704005
L03-172-3,0.3823050145256399
L03-214-2 (L03P18),0.3784623127864821
L03-214-2 (With Upper Oso),0.35490871299791343
L03-240-1 (L03P14),0.3193094011123098
L03-241-1,0.4042910262026919
L03-241-2,0.35781778478016674
L03-241-3,0.3312567034930612
L03-241-4,0.3710682675907868
L03-281-1,0.413961623728595
L03-281-2,0.38940303326644116
L03-316-1,0.280134240918865
L03-316-2,0.4374578208403329
L03-316-3 (L03P12),0.3747590117487091
L03-316-4,0.44174554933981697
L03-418-1,0.44879452766209127
L03-418-2,0.4785835638763667
L03-418-3,0.47858356507625577
L03-418-4,0.4614226397642222
L03-418-8,0.4589517309692979
L03-455-1,0.47650967210656836
L03-455-2,0.4148781199759135
L03-455-3 (L03P37),0.4397526478585922
L03-455-4,0.47650971084590465
L03-455-5,0.4179238605333161
L03-455-6,0.4558824761114543
L03-455-7,0.2802640619602269
L03-497-1,0.3649454220063046
L03-662-1,0.3905518889718924
L03-662-3 (L03P16),0.512020609117686
L03-691-1 (L03P09),0.36064608364362677
