Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,RESMF,Multi-family Residential,multi-family,38.69626205,23,0.0243
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,TRANS,Streets and Roads,surface street,70.31121603,50,0.0306
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,TRFWY,Freeway,highway/arterial,11.25348944,41,0.0522
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,OSDEV,Developed Open Space,developed open space,61.05707698,59,0.0106
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,OSIRR,Developed Open Space,developed open space,1.082934649,59,0.0106
J07-9109-4 (J07P02),2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,"Copper, Total",mg/L,NA,0.021,OSLOW,Open Space,open space,8.083474046,68,0.0106
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,COMM,Commercial,business,28.98139563,17,0.0137
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,EDU,Education,business,10.6381713,17,0.0137
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,UTIL,Commercial,business,3.655181553,17,0.0137
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,RESSFH,Single Family Residential,single family,452.1688058,35,0.0148
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,RESMF,Multi-family Residential,multi-family,115.2027058,26,0.0147
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,TRANS,Streets and Roads,surface street,204.1380337,53,0.0176
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSAGIR,Agriculture,agriculture,0.061877768,8,0.0113
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSAGNI,Agriculture,agriculture,0.209400486,8,0.0113
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSDEV,Developed Open Space,developed open space,246.8853049,62,6e-4
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSIRR,Developed Open Space,developed open space,100.2642349,62,6e-4
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSLOW,Open Space,open space,249.8212099,71,6e-4
K01-12156-4,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,"Copper, Total",mg/L,NA,0.0044,OSFOR,Open Space,open space,0.668880764,71,6e-4
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,UTIL,Commercial,business,1.010099388,17,0.0137
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,RESSFH,Single Family Residential,single family,149.1154118,35,0.0148
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,RESMF,Multi-family Residential,multi-family,36.16529925,26,0.0147
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,TRANS,Streets and Roads,surface street,74.15666836,53,0.0176
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,TRFWY,Freeway,highway/arterial,14.19020613,44,0.0324
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,OSDEV,Developed Open Space,developed open space,68.55579814,62,6e-4
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,OSIRR,Developed Open Space,developed open space,20.23013096,62,6e-4
L02-166-2 (L02P25),2024-01-21T11:34:00Z,3252006,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.004900000000000001,OSLOW,Open Space,open space,0.529641331,71,6e-4
J03-9216-2,2024-01-21T10:47:00Z,3252007,Dissolved,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,"Copper, Total",mg/L,NA,0.0073,COMM,Commercial,business,100.5233985,17,0.0137
